epoch,lr-Adam,step,train/n_events,train/nll,val/n_events,val/nll
,0.001,0,,,,
0,,6,,,260.7200012207031,3.5852739810943604
0,,6,275.79998779296875,4.696789264678955,,
,0.001,7,,,,
1,,13,,,260.7200012207031,2.846733331680298
1,,13,277.239990234375,3.155397653579712,,
,0.001,14,,,,
2,,20,,,260.7200012207031,2.765439510345459
2,,20,277.1199951171875,2.8349950313568115,,
,0.001,21,,,,
3,,27,,,260.7200012207031,2.707193613052368
3,,27,276.1600036621094,2.7550220489501953,,
,0.001,28,,,,
4,,34,,,260.7200012207031,2.6688649654388428
4,,34,277.8399963378906,2.703251600265503,,
,0.001,35,,,,
5,,41,,,260.7200012207031,2.604653835296631
5,,41,277.3599853515625,2.6614346504211426,,
,0.001,42,,,,
6,,48,,,260.7200012207031,2.554880142211914
6,,48,276.3999938964844,2.62204647064209,,
,0.001,49,,,,
7,,55,,,260.7200012207031,2.511868476867676
7,,55,277.239990234375,2.5912957191467285,,
,0.001,56,,,,
8,,62,,,260.7200012207031,2.4891326427459717
8,,62,277.7200012207031,2.5703954696655273,,
,0.001,63,,,,
9,,69,,,260.7200012207031,2.467963218688965
9,,69,276.0400085449219,2.5323495864868164,,
,0.001,70,,,,
10,,76,,,260.7200012207031,2.458711624145508
10,,76,275.20001220703125,2.5124435424804688,,
,0.001,77,,,,
11,,83,,,260.7200012207031,2.469398260116577
11,,83,275.20001220703125,2.499746799468994,,
,0.001,84,,,,
12,,90,,,260.7200012207031,2.4662961959838867
12,,90,274.4800109863281,2.5022618770599365,,
,0.001,91,,,,
13,,97,,,260.7200012207031,2.4519541263580322
13,,97,277.8399963378906,2.497974157333374,,
,0.001,98,,,,
14,,104,,,260.7200012207031,2.467785358428955
14,,104,277.4800109863281,2.4871726036071777,,
,0.001,105,,,,
15,,111,,,260.7200012207031,2.4571454524993896
15,,111,278.20001220703125,2.4750990867614746,,
,0.001,112,,,,
16,,118,,,260.7200012207031,2.4494423866271973
16,,118,277.8399963378906,2.4707047939300537,,
,0.001,119,,,,
17,,125,,,260.7200012207031,2.4522523880004883
17,,125,276.760009765625,2.446053981781006,,
,0.001,126,,,,
18,,132,,,260.7200012207031,2.4348366260528564
18,,132,278.32000732421875,2.4412975311279297,,
,0.001,133,,,,
19,,139,,,260.7200012207031,2.4379804134368896
19,,139,278.20001220703125,2.4369664192199707,,
,0.001,140,,,,
20,,146,,,260.7200012207031,2.4627997875213623
20,,146,276.6400146484375,2.4393694400787354,,
,0.001,147,,,,
21,,153,,,260.7200012207031,2.463728904724121
21,,153,277.3599853515625,2.4235262870788574,,
,0.001,154,,,,
22,,160,,,260.7200012207031,2.4689817428588867
22,,160,276.3999938964844,2.421152353286743,,
,0.001,161,,,,
23,,167,,,260.7200012207031,2.4665842056274414
23,,167,277.6000061035156,2.3956334590911865,,
,0.001,168,,,,
24,,174,,,260.7200012207031,2.4702486991882324
24,,174,274.0,2.3807647228240967,,
,0.001,175,,,,
25,,181,,,260.7200012207031,2.475818395614624
25,,181,276.6400146484375,2.3667564392089844,,
,0.001,182,,,,
26,,188,,,260.7200012207031,2.494338035583496
26,,188,275.9200134277344,2.3575096130371094,,
,0.001,189,,,,
27,,195,,,260.7200012207031,2.4889209270477295
27,,195,274.1199951171875,2.3428263664245605,,
,0.001,196,,,,
28,,202,,,260.7200012207031,2.524465560913086
28,,202,275.20001220703125,2.3238282203674316,,
,0.001,203,,,,
29,,209,,,260.7200012207031,2.5028634071350098
29,,209,278.20001220703125,2.316694498062134,,
,0.0005,210,,,,
30,,216,,,260.7200012207031,2.5391552448272705
30,,216,278.79998779296875,2.283970355987549,,
,0.0005,217,,,,
31,,223,,,260.7200012207031,2.5599896907806396
31,,223,275.79998779296875,2.2590363025665283,,
,0.0005,224,,,,
32,,230,,,260.7200012207031,2.5721349716186523
32,,230,277.3599853515625,2.2312254905700684,,
,0.0005,231,,,,
33,,237,,,260.7200012207031,2.60031795501709
33,,237,277.1199951171875,2.236304759979248,,
,0.0005,238,,,,
34,,244,,,260.7200012207031,2.5920748710632324
34,,244,275.79998779296875,2.2111949920654297,,
,0.0005,245,,,,
35,,251,,,260.7200012207031,2.5801143646240234
35,,251,276.1600036621094,2.194756269454956,,
,0.0005,252,,,,
36,,258,,,260.7200012207031,2.637216091156006
36,,258,276.1600036621094,2.169978141784668,,
,0.0005,259,,,,
37,,265,,,260.7200012207031,2.6476197242736816
37,,265,278.44000244140625,2.165581464767456,,
,0.0005,266,,,,
38,,272,,,260.7200012207031,2.677461862564087
38,,272,277.4800109863281,2.14578914642334,,
