epoch,lr-AdamW,step,train/n_events,train/nll,val/n_events,val/nll
,0.001,0,,,,
0,,2,,,76.0,3.176797866821289
0,,2,147.18182373046875,3.987919807434082,,
,0.001,3,,,,
1,,5,,,76.0,2.7652924060821533
1,,5,146.72727966308594,3.0104308128356934,,
,0.001,6,,,,
2,,8,,,76.0,2.3429055213928223
2,,8,145.81817626953125,2.4985663890838623,,
,0.001,9,,,,
3,,11,,,76.0,1.7366933822631836
3,,11,146.0,1.935217022895813,,
,0.001,12,,,,
4,,14,,,76.0,0.8885964751243591
4,,14,145.5454559326172,1.2375725507736206,,
